"Claim number","Response Date","Response"
"LA-ACTEM/40354/640",2011-12-06,"APPROVED"
"LA-ACTEM/40571/235",2011-12-06,"app"
"LA-AVAST/39119/906",2008-06-27,"yes"
"LA-AVAST/39119/542",2008-06-27,"APPROVED"
"LA-AVAST/39119/458",2008-06-27,"Approved"
"LA-AVAST/40354/605",2011-04-11,"yes"
"LA-AVAST/40690/670",2012-03-22,"declined"
"LA-AVAST/41313/717",2013-07-08,"Y"
"LA-AVAST/40820/564",2013-07-08,"rejected"
"LA-AVAST/40820/606",2013-07-08,"yes"
"LA-AVAST/41969/254",2015-10-20,"Approved"
"LA-AVAST/41969/756",2015-10-20,"Approved"
"LA-AVAST/41969/452",2015-10-20,"Approved"
"LA-AVAST/41969/926",2015-10-20,"YES"
"LA-AVAST/38408/498",2005-10-21,"NO"
"LA-AVAST/39119/690",2008-06-27,"NO"
"LA-AVAST/39119/718",2008-06-27,"Y"
"LA-AVAST/39119/356",2008-06-27,"Approved"
"LA-AVAST/40354/544",2011-04-11,"APPROVED"
"LA-AVAST/40354/884",2011-04-11,"N"
"LA-AVAST/40690/435",2012-03-22,"app"
"LA-AVAST/41313/973",2013-07-08,"declined"
"LA-AVAST/41969/482",2015-10-20,"N"
"LA-AVAST/41969/123",2015-10-20,"YES"
"LA-AVAST/41969/681",2015-10-20,"N"
"LA-AVAST/41969/834",2015-10-21,"app"
"LA-AVAST/41969/902",2015-10-21,"yes"
"LA-BONVI/39262/220",2008-03-25,"YES"
"LA-BONVI/39262/897",2008-03-25,"NO"
"LA-BONVI/38674/119",2007-01-16,"Y"
"LA-BONVI/38317/125",2005-10-21,"YES"
"LA-BONVI/39562/119",2008-06-26,"Y"
"LA-CELLC/37686/635",2004-07-22,"app"
"LA-CELLC/37686/137",2004-07-22,"app"
"LA-CELLC/37686/278",2004-07-22,"declined"
"LA-CELLC/37686/345",2004-07-22,"APPROVED"
"LA-CELLC/37686/248",2004-07-22,"APPROVED"
"LA-CELLC/37686/521",2004-07-22,"YES"
"LA-CELLC/37686/351",2004-07-22,"Approved"
"LA-CELLC/37686/808",2004-07-22,"yes"
"LA-COPEG/39283/363",2007-07-20,"rejected"
"LA-COPEG/39612/730",2008-06-13,"app"
"LA-COPEG/39121/981",2008-06-26,"N"
"LA-COPEG/39119/718",2008-06-26,"Y"
"LA-COPEG/39563/742",2008-08-04,"APPROVED"
"LA-COPEG/39563/520",2008-08-04,"YES"
"LA-HERCE/37684/696",2004-07-22,"NO"
"LA-HERCE/38897/975",2008-02-25,"declined"
"LA-HERCE/39262/327",2008-02-25,"YES"
"LA-HERCE/40354/140",2011-04-11,"APPROVED"
"LA-HERCE/40508/933",2011-07-15,"app"
"LA-HERCE/41942/396",2015-10-20,"NO"
"LA-HERCE/38897/452",2008-03-25,"Approved"
"LA-HERCE/40354/662",2011-04-11,"rejected"
"LA-HERCE/40508/174",2011-07-15,"declined"
"LA-HERCE/41942/471",2015-10-20,"declined"
"LA-KYTRI/40864/390",2013-07-07,"NO"
"LA-KYTRI/40864/714",2013-07-17,"Y"
"LA-MABTH/40052/835",2011-02-08,"app"
"LA-MABTH/40052/224",2011-02-08,"YES"
"LA-MABTH/40052/506",2011-02-08,"yes"
"LA-MABTH/40052/786",2011-02-08,"N"
"LA-MABTH/40052/515",2011-02-08,"Y"
"LA-MABTH/41942/606",2014-12-11,"yes"
"LA-MABTH/41942/385",2014-12-11,"N"
"LA-MABTH/40052/913",2011-01-05,"Y"
"LA-MABTH/40018/899",2011-01-05,"NO"
"LA-MABTH/40052/548",2011-01-05,"APPROVED"
"LA-MABTH/40052/656",2011-01-05,"Approved"
"LA-MABTH/40052/504",2011-01-05,"yes"
"LA-MABTH/40052/787",2011-01-05,"N"
"LA-MABTH/41942/869",2014-12-11,"rejected"
"LA-MABTH/41942/188",2014-12-11,"N"
"LA-MADOP/36067/206",2000-01-25,"yes"
"LA-MIRCE/39899/129",2011-01-05,"YES"
"LA-MIRCE/40382/473",2011-12-06,"declined"
"LA-MIRCE/39671/433",2010-08-24,"app"
"LA-MIRCE/39899/465",2010-01-08,"rejected"
"LA-MIRCE/39671/103",2010-08-24,"yes"
"LA-MIRCE/40382/470",2011-12-06,"declined"
"LA-MIRCE/40382/114",2011-12-06,"Y"
"LA-MIRCE/39899/477",2011-01-05,"declined"
"LA-MIRCE/39899/599",2011-01-05,"NO"
"LA-MIRCE/39899/404",2010-08-24,"yes"
"LA-NEORE/38317/922",2005-10-21,"YES"
"LA-NEORE/38317/402",2005-10-21,"yes"
"LA-NEORE/38317/927",2005-10-21,"YES"
"LA-NEORE/38317/807",2005-10-21,"yes"
"LA-NEORE/38317/882",2005-10-21,"N"
"LA-NEORE/38317/577",2005-10-21,"declined"
"LA-NEORE/38317/576",2005-10-21,"declined"
"LA-NEORE/38317/413",2005-10-21,"Y"
"LA-NEORE/38317/671",2005-10-21,"declined"
"LA-NEULA/39612/999",2009-05-08,"NO"
"LA-PEGAS/41971/285",2014-11-28,"N"
"LA-PEGAS/41971/848",2014-11-28,"APPROVED"
"LA-PEGAS/39283/787",2007-07-20,"N"
"LA-PEGAS/39563/573",2008-08-04,"declined"
"LA-PEGAS/41971/298",2014-11-28,"NO"
"LA-PEGAS/37309/719",2003-08-19,"Y"
"LA-PEGAS/37309/600",2003-08-19,"yes"
"LA-PEGAS/37309/342",2003-08-19,"APPROVED"
"LA-PEGAS/37309/564",2003-08-19,"rejected"
"LA-PEGAS/37309/809",2003-08-19,"yes"
"LA-PEGAS/37309/866",2003-08-19,"rejected"
"LA-PEGAS/39283/781",2007-07-20,"N"
"LA-PEGAS/39563/884",2008-08-04,"N"
"LA-PEGAS/41971/928",2014-11-28,"YES"
"LA-RIVOT/39289/156",2008-12-11,"Approved"
"LA-ROCAL/39119/197",1998-06-30,"NO"
"LA-ROCEP/39119/856",1998-06-30,"Approved"
"LA-ROCEP/39119/768",1998-06-30,"rejected"
"LA-ROFER/39119/212",1998-06-30,"Y"
"LA-ROFER/39119/718",1998-06-30,"Y"
"LA-ROFER/39119/912",1998-06-30,"Y"
"LA-ROFER/39119/404",1998-06-30,"yes"
"LA-ROFER/39119/219",1998-06-30,"Y"
"LA-ROFER/39119/456",1998-06-30,"Approved"
"LA-TAMIF/39899/937",2011-01-05,"app"
"LA-TAMIF/39899/525",2011-12-06,"YES"
"LA-TAMIF/39899/512",2011-12-06,"Y"
"LA-TAMIF/39899/360",2011-01-05,"rejected"
"LA-TAMIF/39899/607",2011-01-05,"yes"
"LA-TAMIF/40267/444",2011-12-14,"APPROVED"
"LA-TAMIF/40267/508",2011-12-14,"yes"
"LA-TAMIF/38775/474",2006-05-27,"declined"
"LA-TAMIF/39119/755",2008-06-26,"Approved"
"LA-TAMIF/40018/731",2011-01-05,"app"
"LA-TAMIF/40018/877",2011-01-05,"declined"
"LA-TAMIF/39988/203",2011-01-05,"yes"
"LA-TAMIF/40368/797",2011-12-14,"NO"
"LA-TAMIF/38317/123",2005-10-21,"YES"
"LA-TAMIF/40368/814",2011-12-14,"Y"
"LA-TARCE/40354/719",2011-04-11,"Y"
"LA-TARCE/40876/641",2013-07-08,"APPROVED"
"LA-TARCE/40876/970",2013-07-08,"declined"
"LA-TARCE/41299/684",2013-08-27,"N"
"LA-TARCE/40354/510",2011-04-11,"Y"
"LA-TARCE/40876/442",2013-07-08,"APPROVED"
"LA-TARCE/40876/503",2013-07-08,"yes"
"LA-TARCE/41299/612",2013-08-27,"Y"
"LA-TARCE/39612/759",2009-05-08,"Approved"
"LA-TARCE/40354/990",2011-04-11,"NO"
"LA-TARCE/41299/268",2013-08-27,"rejected"
"LA-VALCY/38408/645",2005-10-21,"APPROVED"
"LA-VALCY/37999/681",2005-10-21,"N"
"LA-VALCY/41912/641",2015-10-20,"APPROVED"
"LA-VALIU/40167/506",2012-03-22,"yes"
"LA-VALIU/40167/210",2012-03-22,"Y"
"LA-XELOD/37698/347",2004-07-22,"APPROVED"
"LA-XELOD/38429/312",2004-07-22,"Y"
"LA-XELOD/37698/736",2004-07-22,"app"
"LA-XELOD/37698/917",2004-07-22,"Y"
"LA-XELOD/39262/541",2008-03-25,"APPROVED"
"LA-XELOD/40291/948",2011-01-05,"APPROVED"
"LA-XELOD/38429/537",2004-07-22,"app"
"LA-XELOD/38429/801",2004-07-22,"yes"
"LA-XELOD/37698/641",2004-07-22,"APPROVED"
"LA-XELOD/37698/637",2004-07-22,"app"
"LA-XELOD/39262/332",2008-03-25,"app"
"LA-XELOD/40291/434",2011-01-05,"app"
"LA-XENIC/38429/913","#VALUE!","Y"
"LA-XENIC/38429/267","#VALUE!","rejected"
"LA-XENIC/37224/739",2003-08-15,"app"
"LA-XENIC/37224/229",2003-08-15,"YES"
"LV-ACTEM/41264/436",2014-04-23,"app"
"LV-ACTEM/39415/124",2009-01-16,"YES"
"LV-ACTEM/40465/486",2011-07-01,"N"
"LV-ACTEM/39415/231",2009-01-16,"app"
"LV-ACTEM/40465/990",2011-07-01,"NO"
"LV-ACTEM/39415/620",2009-01-16,"YES"
"LV-ACTEM/40465/996",2011-07-01,"NO"
"LV-AVAST/37960/278",2005-01-12,"declined"
"LV-AVAST/38903/324",2007-03-27,"YES"
"LV-AVAST/38931/442",2007-08-21,"APPROVED"
"LV-AVAST/39175/905",2007-12-14,"yes"
"LV-AVAST/39170/450",2008-01-25,"Approved"
"LV-AVAST/41520/750",2014-07-31,"Approved"
"LV-AVAST/41796/454",2015-02-26,"Approved"
"LV-AVAST/37960/877",2005-01-12,"declined"
"LV-AVAST/38903/874",2007-03-27,"declined"
"LV-AVAST/38931/554",2007-08-21,"Approved"
"LV-AVAST/39175/247",2007-12-14,"APPROVED"
"LV-AVAST/39170/357",2008-01-25,"Approved"
"LV-AVAST/41520/756",2014-07-31,"Approved"
"LV-AVAST/41796/964",2015-02-26,"rejected"
"LV-BONVI/38246/909",2005-09-15,"yes"
"LV-BONVI/38469/865",2006-03-29,"rejected"
"LV-BONVI/39034/171",2007-03-06,"declined"
"LV-BONVI/39034/190",2007-03-06,"NO"
"LV-BONVI/38246/845",2005-09-15,"APPROVED"
"LV-BONVI/38469/899",2006-03-29,"NO"
"LV-COPEG/37476/580",2003-01-15,"N"
"LV-COPEG/38400/846",2005-06-15,"APPROVED"
"LV-COTEL/41884/254",2015-11-20,"Approved"
"LV-DILAT/38646/945",2006-05-10,"APPROVED"
"LV-DILAT/35545/937",1997-09-03,"app"
"LV-DILAT/35545/769",1997-09-03,"rejected"
"LV-DILAT/35545/691",1997-09-03,"NO"
"LV-DILAT/38646/281",2006-05-10,"N"
"LV-DILAT/35545/758",1997-09-03,"Approved"
"LV-DILAT/35545/275",1997-09-03,"declined"
"LV-DILAT/35545/432",1997-09-03,"app"
"LV-DILAT/38646/559",2006-05-10,"Approved"
"LV-DORMI/34704/839",1995-10-06,"app"
"LV-DORMI/34704/403",1995-10-06,"yes"
"LV-DORMI/34704/822",1995-10-06,"YES"
"LV-DORMI/34704/605",1995-10-06,"yes"
"LV-ERIVE/40877/838",2013-07-12,"app"
"LV-ESBRI/40240/172",2011-02-28,"declined"
"LV-GAZYV/41388/840",2014-07-23,"APPROVED"
"LV-HERCE/41733/485",2014-07-24,"N"
"LV-HERCE/41733/439",2014-07-24,"app"
"LV-HERCE/39422/763",2008-09-09,"rejected"
"LV-HERCE/40060/560",2010-01-19,"rejected"
"LV-HERCE/40344/885",2011-04-20,"N"
"LV-HERCE/40968/446",2013-08-26,"APPROVED"
"LV-HERCE/40968/642",2013-08-26,"APPROVED"
"LV-HERCE/40968/461",2013-08-26,"rejected"
"LV-HERCE/40968/491",2013-08-26,"NO"
"LV-HERCE/40968/886",2013-08-26,"N"
"LV-HERCE/40968/431",2013-08-26,"app"
"LV-HERCE/40968/970",2013-08-26,"declined"
"LV-INVIR/34957/319",1996-10-04,"Y"
"LV-KADCY/41150/361",2013-11-15,"rejected"
"LV-KADCY/41150/324",2013-11-15,"YES"
"LV-LEXOT/35988/186",1999-06-16,"N"
"LV-MABTH/38708/903",2006-07-06,"yes"
"LV-MABTH/38601/881",2006-07-06,"N"
"LV-MABTH/39265/398",2008-01-18,"NO"
"LV-MABTH/39828/255",2009-08-21,"Approved"
"LV-MABTH/39973/803",2010-10-25,"yes"
"LV-MABTH/41024/390",2013-04-25,"NO"
"LV-MABTH/41242/880",2014-03-21,"N"
"LV-MABTH/38708/763",2006-07-06,"rejected"
"LV-MABTH/38601/571",2006-07-06,"declined"
"LV-MABTH/39265/934",2008-01-18,"app"
"LV-MABTH/39828/305",2009-08-21,"yes"
"LV-MABTH/39973/248",2010-10-25,"APPROVED"
"LV-MABTH/41024/349",2013-04-25,"APPROVED"
"LV-MADOP/35117/743",2000-07-05,"APPROVED"
"LV-MADOP/35117/925",2000-07-05,"YES"
"LV-MADOP/34719/941",1996-12-19,"APPROVED"
"LV-MADOP/34719/994",1996-12-19,"NO"
"LV-MIRCE/38828/432",2007-07-20,"app"
"LV-MIRCE/39387/657",2008-09-05,"Approved"
"LV-MIRCE/38828/317",2007-07-20,"Y"
"LV-MIRCE/38828/403",2007-07-20,"yes"
"LV-MIRCE/38828/436",2007-07-20,"app"
"LV-MIRCE/39387/613",2008-09-05,"Y"
"LV-MIRCE/39387/309",2008-09-05,"yes"
"LV-MIRCE/38828/684",2007-07-20,"N"
"LV-MIRCE/39387/762",2008-09-05,"rejected"
"LV-MIRCE/38828/196",2007-07-20,"NO"
"LV-MIRCE/38828/102",2007-07-20,"yes"
"LV-MIRCE/39387/924",2008-09-05,"YES"
"LV-MIRCE/38828/245",2007-07-20,"APPROVED"
"LV-MIRCE/38828/393",2007-07-20,"NO"
"LV-MIRCE/38828/545",2007-07-20,"APPROVED"
"LV-MIRCE/38828/815",2007-07-20,"Y"
"LV-MIRCE/38828/872",2007-07-20,"declined"
"LV-MIRCE/38828/257",2007-07-20,"Approved"
"LV-MIRCE/38828/345",2007-07-20,"APPROVED"
"LV-MIRCE/38828/879",2007-07-20,"declined"
"LV-MIRCE/38828/987",2007-07-20,"N"
"LV-PEGAS/40485/872",2011-06-29,"declined"
"LV-PEGAS/40485/403",2011-06-29,"yes"
"LV-PEGAS/40485/587",2011-06-29,"N"
"LV-PEGAS/40485/200",2011-06-29,"yes"
"LV-PEGAS/40877/818",2013-03-13,"Y"
"LV-PEGAS/40877/519",2013-03-13,"Y"
"LV-PEGAS/36903/385",2002-06-20,"N"
"LV-PEGAS/36903/618",2002-06-20,"Y"
"LV-PEGAS/38007/398",2004-11-05,"NO"
"LV-PEGAS/38189/713",2005-02-23,"Y"
"LV-PEGAS/39394/205",2008-06-20,"yes"
"LV-PEGAS/39509/424",2008-11-28,"YES"
"LV-PEGAS/40877/170",2013-03-13,"declined"
"LV-PEGAS/36903/571",2002-06-20,"declined"
"LV-PEGAS/36903/159",2002-06-20,"Approved"
"LV-PEGAS/38007/662",2004-11-05,"rejected"
"LV-PEGAS/38189/962",2005-02-23,"rejected"
"LV-PEGAS/39394/496",2008-06-20,"NO"
"LV-PEGAS/39509/243",2008-11-28,"APPROVED"
"LV-PEGAS/40877/827",2013-03-13,"YES"
"LV-PEGAS/40877/576",2013-03-13,"declined"
"LV-PEGAS/40877/235",2013-03-13,"app"
"LV-PEGAS/40877/498",2013-03-13,"NO"
"LV-PEGAS/40705/713",2013-03-13,"Y"
"LV-PEGAS/40877/427",2013-03-13,"YES"
"LV-PEGAS/36903/828",2002-06-20,"YES"
"LV-PEGAS/36903/186",2002-06-20,"N"
"LV-PEGAS/38007/110",2004-11-05,"Y"
"LV-PEGAS/38189/892",2005-02-23,"NO"
"LV-PEGAS/39394/475",2008-06-20,"declined"
"LV-PEGAS/39509/352",2008-11-28,"Approved"
"LV-PEGAS/40877/548",2013-03-13,"APPROVED"
"LV-PEGAS/36903/658",2002-06-20,"Approved"
"LV-PEGAS/36903/312",2002-06-20,"Y"
"LV-PEGAS/38007/264",2004-11-05,"rejected"
"LV-PEGAS/38189/592",2005-02-23,"NO"
"LV-PEGAS/39394/323",2008-06-20,"YES"
"LV-PEGAS/39509/322",2008-11-28,"YES"
"LV-PERJE/41883/772",2015-07-28,"declined"
"LV-PULMO/35961/173",1999-06-16,"declined"
"LV-ROACC/35018/225",1996-12-19,"YES"
"LV-ROACC/35018/488",1996-12-19,"N"
"LV-ROACC/35018/892",1996-12-19,"NO"
"LV-ROACC/35018/156",1996-12-19,"Approved"
"LV-ROCAL/34825/442",1996-06-07,"APPROVED"
"LV-ROCAL/34825/773",1996-06-07,"declined"
"LV-ROCAL/34825/747",1996-06-07,"APPROVED"
"LV-ROCAL/34825/369",1996-06-07,"rejected"
"LV-ROCAL/34825/673",1996-06-07,"declined"
"LV-ROCAL/34825/613",1996-06-07,"Y"
"LV-ROCAL/34825/802",1996-06-07,"yes"
"LV-ROCAL/34825/404",1996-06-07,"yes"
"LV-ROCEP/34417/373",1995-04-25,"declined"
"LV-ROCEP/34417/764",1995-04-25,"rejected"
"LV-ROCEP/34417/491",1995-04-25,"NO"
"LV-ROCEP/34417/725",1995-04-25,"YES"
"LV-ROCEP/34417/203",1995-04-25,"yes"
"LV-ROCEP/34417/103",1995-04-25,"yes"
"LV-ROCEP/34417/270",1995-04-25,"declined"
"LV-ROCEP/34417/546",1995-04-25,"APPROVED"
"LV-ROFER/35347/541",1998-05-20,"APPROVED"
"LV-ROFER/35347/147",1998-05-20,"APPROVED"
"LV-ROFER/35347/597",1998-05-20,"NO"
"LV-ROFER/35347/241",1998-05-20,"APPROVED"
"LV-ROFER/35347/962",1998-05-20,"rejected"
"LV-ROFER/35347/622",1998-05-20,"YES"
"LV-ROFER/35347/734",1998-05-20,"app"
"LV-ROFER/35347/333",1998-05-20,"app"
"LV-ROFER/35347/651",1998-05-20,"Approved"
"LV-ROFER/35347/729",1998-05-20,"YES"
"LV-ROFER/35347/785",1998-05-20,"N"
"LV-TAMIF/39115/313",2007-09-19,"Y"
"LV-TAMIF/39115/858",2007-09-19,"Approved"
"LV-TAMIF/41829/918",2015-05-05,"Y"
"LV-TAMIF/39115/870",2007-09-19,"declined"
"LV-TAMIF/39115/333",2007-09-19,"app"
"LV-TAMIF/41829/900",2015-05-05,"yes"
"LV-TAMIF/38555/956",2006-01-25,"Approved"
"LV-TAMIF/41829/400",2015-05-05,"yes"
"LV-TAMIF/40522/551",2011-11-28,"Approved"
"LV-TAMIF/40522/257",2011-11-28,"Approved"
"LV-TAMIF/41829/967",2015-05-05,"rejected"
"LV-TAMIF/38555/246",2006-01-25,"APPROVED"
"LV-TAMIF/41829/248",2015-05-05,"APPROVED"
"LV-TARCE/38225/192",2005-09-19,"NO"
"LV-TARCE/38628/207",2007-01-24,"yes"
"LV-TARCE/42283/278",2016-01-25,"declined"
"LV-TARCE/38225/707",2005-09-19,"yes"
"LV-TARCE/38628/884",2007-01-24,"N"
"LV-TARCE/42283/395",2016-01-25,"NO"
"LV-TARCE/38225/172",2005-09-19,"declined"
"LV-TARCE/38628/108",2007-01-24,"yes"
"LV-TARCE/42283/879",2016-01-25,"declined"
"LV-VALCY/39022/413",2008-03-31,"Y"
"LV-VALCY/39022/330",2008-03-31,"app"
"LV-VALCY/41620/161",2014-09-22,"rejected"
"LV-VALCY/41620/101",2014-09-22,"yes"
"LV-VALCY/37425/980",2003-04-14,"N"
"LV-VALCY/37425/600",2003-04-14,"yes"
"LV-VALCY/39022/381",2008-03-31,"N"
"LV-VALCY/41620/288",2014-09-22,"N"
"LV-VALCY/41620/588",2014-09-22,"N"
"LV-XELOD/38216/338",2005-03-31,"app"
"LV-XELOD/38919/981",2007-03-28,"N"
"LV-XELOD/39171/899",2008-02-01,"NO"
"LV-XELOD/38216/318",2005-03-31,"Y"
"LV-XELOD/38919/121",2007-03-28,"YES"
"LV-XELOD/39171/688",2008-02-01,"N"
"LV-XENIC/35408/646",1998-07-29,"APPROVED"
"LV-XENIC/35408/918",1998-07-29,"Y"
"LV-XENIC/37883/372",2004-03-02,"declined"
"LV-ZELBO/40666/277",2012-02-17,"declined"
"LB-ACTEM/42089/545",2015-09-21,"APPROVED"
"LB-ACTEM/42089/195",2015-09-21,"NO"
"LB-ACTEM/42089/613",2015-09-21,"Y"
"LB-ACTEM/40008/824",2010-06-14,"YES"
"LB-ACTEM/41246/655",2013-01-09,"Approved"
"LB-ACTEM/41246/608",2013-01-09,"yes"
"LB-ACTEM/41772/396",2014-06-05,"NO"
"LB-ACTEM/42219/853",2015-10-22,"Approved"
"LB-ACTEM/40008/661",2010-06-14,"rejected"
"LB-ACTEM/41246/333",2013-01-09,"app"
"LB-ACTEM/41246/258",2013-01-09,"Approved"
"LB-ACTEM/41772/826",2014-06-05,"YES"
"LB-ACTEM/42219/599",2015-10-22,"NO"
"LB-ACTEM/40008/210",2010-06-14,"Y"
"LB-ACTEM/41246/629",2013-01-09,"YES"
"LB-ACTEM/41246/563",2013-01-09,"rejected"
"LB-ACTEM/41772/932",2014-06-05,"app"
"LB-ACTEM/42219/356",2015-10-22,"Approved"
"LB-ANEXA/31848/649",1987-10-24,"APPROVED"
"LB-ANEXA/31848/785",1987-10-24,"N"
"LB-ANEXA/31848/159",1987-10-24,"Approved"
"LB-ANEXA/31848/250",1987-10-24,"Approved"
"LB-ANEXA/31848/247",1987-10-24,"APPROVED"
"LB-ANEXA/31848/490",1987-10-24,"NO"
"LB-AUROR/33731/617",1992-03-18,"Y"
"LB-AUROR/33681/406",1992-05-07,"yes"
"LB-AVAST/38681/838",2006-09-22,"app"
"LB-AVAST/41300/901",2013-03-09,"yes"
"LB-AVAST/41300/524",2013-03-09,"YES"
"LB-AVAST/41300/491",2013-03-09,"NO"
"LB-AVAST/41300/617",2013-03-09,"Y"
"LB-AVAST/41300/722",2013-03-09,"YES"
"LB-AVAST/41300/440",2013-03-26,"APPROVED"
"LB-AVAST/41880/951",2014-11-11,"Approved"
"LB-AVAST/42219/188",2015-10-22,"N"
"LB-AVAST/42219/324",2015-10-22,"YES"
"LB-AVAST/38681/700",2006-09-22,"yes"
"LB-AVAST/41300/675",2013-03-09,"declined"
"LB-AVAST/41300/490",2013-03-09,"NO"
"LB-AVAST/41300/901",2013-03-09,"yes"
"LB-AVAST/41300/929",2013-03-09,"YES"
"LB-AVAST/41300/659",2013-03-09,"Approved"
"LB-AVAST/41300/689",2013-03-09,"N"
"LB-AVAST/41880/429",2014-11-11,"YES"
"LB-AVAST/42219/937",2015-10-22,"app"
"LB-AVAST/42219/491",2015-10-22,"NO"
"LB-BACTR/28868/243",1979-11-28,"APPROVED"
"LB-BONVI/36923/275",2003-03-28,"declined"
"LB-BONVI/36923/872",2003-03-28,"declined"
"LB-BONVI/38481/255",2006-05-25,"Approved"
"LB-BONVI/38862/521",2008-10-27,"YES"
"LB-BONVI/38750/297",2007-10-18,"NO"
"LB-BONVI/39210/629",2010-06-14,"YES"
"LB-CELLC/36844/238",2002-11-29,"app"
"LB-CELLC/36844/124",2002-10-29,"YES"
"LB-COPEG/38449/398",2006-05-25,"NO"
"LB-COPEG/42255/502",2015-11-18,"yes"
"LB-CYMEV/36645/887",2002-10-03,"N"
"LB-CYMEV/36645/289",2002-10-03,"N"
"LB-DILAT/36189/260",2000-01-24,"rejected"
"LB-DILAT/36189/334",2000-01-24,"app"
"LB-DILAT/36189/630",2000-01-24,"app"
"LB-DILAT/36189/169",2000-01-24,"rejected"
"LB-DILAT/36189/352",2000-01-24,"Approved"
"LB-DILAT/36189/453",2000-01-24,"Approved"
"LB-DORMI/32231/183",1988-04-22,"N"
"LB-DORMI/33681/951",1992-05-07,"Approved"
"LB-DORMI/34516/195",1997-01-23,"NO"
"LB-ERIVE/41703/245",2015-12-15,"APPROVED"
"LB-GAZYV/42117/425",2015-09-21,"YES"
"LB-HERCE/37993/970",2003-07-09,"declined"
"LB-HERCE/37811/855",2004-01-07,"Approved"
"LB-HERCE/41122/686",2009-10-20,"N"
"LB-HERCE/41122/119",2012-10-29,"Y"
"LB-HERCE/41218/849",2012-12-01,"APPROVED"
"LB-HERCE/38266/130",2006-02-03,"app"
"LB-HERCE/38266/417",2006-02-03,"Y"
"LB-HERCE/41122/208",2010-10-29,"yes"
"LB-HERCE/41122/636",2012-10-29,"app"
"LB-HERCE/41218/347",2012-12-01,"APPROVED"
"LB-INHIB/33681/563",1992-05-02,"rejected"
"LB-INHIB/33681/917",1992-05-02,"Y"
"LB-INHIB/35650/808",1998-06-09,"yes"
"LB-KADCY/41809/919",2014-11-20,"Y"
"LB-KONAK/36334/625",1999-07-07,"YES"
"LB-KYTRI/38216/928",2005-08-24,"YES"
"LB-KYTRI/36012/614",2000-04-05,"Y"
"LB-LEXOT/28539/922",1978-05-02,"YES"
"LB-MABTH/39325/779",2007-08-31,"declined"
"LB-MABTH/39325/908",2007-08-31,"yes"
"LB-MABTH/40037/311",2009-08-12,"Y"
"LB-MABTH/40326/337",2010-05-28,"app"
"LB-MABTH/40326/612",2010-05-28,"Y"
"LB-MABTH/36802/699",2001-07-20,"NO"
"LB-MABTH/39325/649",2007-08-31,"APPROVED"
"LB-MABTH/40037/692",2009-08-12,"NO"
"LB-MABTH/40326/406",2010-05-28,"yes"
"LB-MABTH/40326/617",2010-05-28,"Y"
"LB-MADOP/35865/843",1998-04-01,"APPROVED"
"LB-NEULA/39658/474",2009-08-05,"declined"
"LB-PEGAS/39553/798",2008-04-15,"NO"
"LB-PEGAS/41880/820",2014-11-11,"YES"
"LB-PEGAS/39553/506",2008-04-15,"yes"
"LB-PEGAS/41880/494",2014-11-11,"NO"
"LB-PERJE/41598/203",2014-07-03,"yes"
"LB-PERJE/42089/870",2015-05-27,"declined"
"LB-PULMO/40197/685",2010-10-10,"N"
"LB-RAPIL/37726/571",2003-07-17,"declined"
"LB-RIVOT/26917/597",1974-01-21,"NO"
"LB-ROACC/32231/923",1991-11-15,"YES"
"LB-ROACC/32231/690",1991-11-15,"NO"
"LB-ROCEP/30370/607",1985-02-22,"yes"
"LB-ROCEP/30370/393",1985-02-22,"NO"
"LB-ROCEP/30370/870",1985-02-22,"declined"
"LB-ROCEP/30370/872",1985-02-22,"declined"
"LB-ROCEP/30370/854",1985-02-22,"Approved"
"LB-ROCEP/30370/389",1985-02-22,"N"
"LB-ROCEP/30370/280",1985-02-22,"N"
"LB-ROCEP/30370/217",1985-02-22,"Y"
"LB-ROCEP/30370/341",1985-02-22,"APPROVED"
"LB-ROCEP/30370/631",1985-02-22,"app"
"LB-ROCEP/30370/370",1985-02-22,"declined"
"LB-ROCEP/30370/989",1985-02-22,"N"
"LB-ROCEP/30370/670",1985-02-22,"declined"
"LB-ROCEP/30370/837",1985-02-22,"app"
"LB-ROCEP/30370/864",1985-02-22,"rejected"
"LB-ROCEP/30370/980",1985-02-22,"N"
"LB-ROCEP/30370/639",1985-02-22,"app"
"LB-ROCEP/30370/951",1985-02-22,"Approved"
"LB-ROFER/35341/155",1996-12-16,"Approved"
"LB-TAMIF/38720/852",2006-04-12,"Approved"
"LB-TARCE/38750/560",2006-09-22,"rejected"
"LB-TARCE/41379/505",2013-08-06,"yes"
"LB-TARCE/41379/666",2013-08-06,"rejected"
"LB-TARCE/38750/481",2006-09-22,"N"
"LB-TARCE/41379/636",2013-08-06,"app"
"LB-TARCE/41379/672",2013-08-06,"declined"
"LB-TILCO/32062/912",1987-10-24,"Y"
"LB-TILCO/33381/241",1991-09-30,"APPROVED"
"LB-VALCY/38750/617",2007-09-19,"Y"
"LB-VALIU/23415/710",1964-02-27,"Y"
"LB-XELOD/37613/452",2003-10-07,"Approved"
"LB-XELOD/37613/254",2003-10-07,"Approved"
"LB-XENIC/36164/325",1999-09-02,"YES"
"LB-ZELBO/41187/624",2013-02-13,"YES"
"LB-ZENAP/36892/737",2002-12-18,"app"
